Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Chad,Africa,4193,25.53,207,1.26,16,142,0.86,2,0.01,2,Community transmission
San Marino,Europe,3935,11594.67,189,556.9,0,76,223.94,2,5.89,0,Community transmission
Sierra Leone,Africa,3921,49.15,34,0.43,1,79,0.99,0,0,0,Community transmission
Saint Lucia,Americas,3871,2108.08,481,261.94,5,46,25.05,10,5.45,3,Community transmission
Comoros,Africa,3601,414.1,23,2.64,5,146,16.79,2,0.23,0,Community transmission
Mongolia,Western Pacific,3336,101.76,384,11.71,108,3,0.09,1,0.03,1,Clusters of cases
Guinea-Bissau,Africa,3312,168.29,50,2.54,0,49,2.49,1,0.05,0,Community transmission
Barbados,Americas,3285,1143.11,217,75.51,21,37,12.88,4,1.39,0,Community transmission
Jersey,Europe,3220,2959.56,3,2.76,0,69,63.42,0,0,0,Community transmission
Seychelles,Africa,2989,3039.24,371,377.24,10,14,14.24,3,3.05,0,Community transmission
Eritrea,Africa,2944,83.01,78,2.2,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2714,2598.99,68,65.12,0,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2670,7001.08,17,44.58,0,53,138.97,1,2.62,0,Sporadic cases
Yemen,Eastern Mediterranean,2549,8.55,235,0.79,72,654,2.19,19,0.06,2,Community transmission
Viet Nam,Western Pacific,2524,2.59,52,0.05,12,35,0.04,0,0,0,Clusters of cases
Burundi,Africa,2339,19.67,115,0.97,5,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2177,5622.71,63,162.72,0,15,38.74,1,2.58,0,Clusters of cases
Sint Maarten,Americas,2070,4827.2,13,30.32,4,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2053,42.57,27,0.56,4,26,0.54,0,0,0,Clusters of cases
Monaco,Europe,2028,5167.67,63,160.53,5,26,66.25,2,5.1,0,Sporadic cases
Liberia,Africa,2024,40.02,10,0.2,0,85,1.68,0,0,0,Community transmission
Sao Tome and Principe,Africa,1961,894.78,133,60.69,17,32,14.6,2,0.91,0,Community transmission
Papua New Guinea,Western Pacific,1670,18.67,305,3.41,0,16,0.18,2,0.02,0,Community transmission
Saint Vincent and the Grenadines,Americas,1663,1499.01,35,31.55,0,8,7.21,0,0,0,Community transmission
Saint Martin,Americas,1581,4089.6,27,69.84,0,12,31.04,0,0,0,Community transmission
Cambodia,Western Pacific,1011,6.05,167,1,0,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,868,112.49,1,0.13,0,1,0.13,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,848,865.93,79,80.67,16,21,21.44,6,6.13,0,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Isle of Man,Europe,757,890.25,273,321.06,81,25,29.4,0,0,0,No cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,722,1159.41,17,27.3,0,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,671,6788.06,59,596.86,0,0,0,0,0,0,Clusters of cases
Faroe Islands,Europe,660,1350.66,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,641,50.4,22,1.73,2,10,0.79,0,0,0,Sporadic cases
Bonaire,Americas,514,2457.57,99,473.34,59,5,23.91,1,4.78,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,451,686.24,7,10.65,0,2,3.04,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,190,43.43,3,0.69,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,3,2.67,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,146,253.66,3,5.21,1,2,3.47,0,0,0,Pending
Dominica,Americas,144,200.03,2,2.78,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,129,9.78,16,1.21,7,0,0,0,0,0,Clusters of cases
New Caledonia,Western Pacific,67,23.47,9,3.15,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,66,7.36,7,0.78,3,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,47,0.65,2,0.03,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,19,168.95,10,88.92,3,0,0,0,0,0,Sporadic cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,2,0.65,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
